"Max_mean_dist_1","Max_mean_dist_2","Max_mean_dist_3","Max_mean_dist_4","Max_mean_dist_5","Max_mean_dist_6","Max_mean_dist_7","Max_mean_dist_8","Max_mean_dist_9","Max_mean_dist_10"
7,6,7,6,7,7,7,7,7,7
15,7,8,7,8,9,10,15,9,15
20,15,15,20,20,15,15,18,20,20
21,20,20,21,21,20,20,20,21,28
2,2,2,2,2,2,2,2,2,2
11,11,11,11,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12
14,14,14,14,14,14,14,14,14,14
17,17,17,17,17,17,17,17,17,17
22,22,22,22,22,22,22,22,22,22
23,23,23,23,23,23,23,23,23,23
3,3,3,3,3,3,3,3,3,3
